"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
6.6295,-0.00387177562337096
6.631,-0.0038735024593067
6.6325,-0.00387522963801399
6.634,-0.00387695715934929
6.6355,-0.00387868502316905
6.637,-0.00388041322933068
6.6385,-0.00388214177768873
6.64,-0.00388387066809964
6.6415,-0.00388559990041407
6.643,-0.00388732947448946
6.6445,-0.00388905939017839
6.646,-0.00389078964733153
6.6475,-0.00389252024580533
6.649,-0.00389425118544371
6.6505,-0.00389598246610313
6.652,-0.00389771408763135
6.6535,-0.00389944604987711
6.655,-0.00390117835269301
6.6565,-0.00390291099592006
6.658,-0.00390464397941183
6.6595,-0.00390637730301126
6.661,-0.00390811096656805
6.6625,-0.00390984496992322
6.664,-0.00391157931292551
6.6655,-0.00391331399541497
6.667,-0.00391504901723744
6.6685,-0.00391678437823587
6.67,-0.0039185200782503
6.6715,-0.00392025611712466
6.673,-0.00392199249469707
6.6745,-0.00392372921080853
6.676,-0.00392546626529815
6.6775,-0.003927203658005
6.679,-0.00392894138876625
6.6805,-0.00393067945741808
6.682,-0.00393241786379959
6.6835,-0.00393415660774215
6.685,-0.00393589568908483
6.6865,-0.00393763510766095
6.688,-0.00393937486330089
6.6895,-0.00394111495584183
6.691,-0.0039428553851103
6.6925,-0.0039445961509425
6.694,-0.00394633725316786
6.6955,-0.00394807869161487
6.697,-0.00394982046611102
6.6985,-0.00395156257648769
6.7,-0.00395330502257045
6.7015,-0.00395504780418682
6.703,-0.00395679092116238
6.7045,-0.00395853437332366
6.706,-0.00396027816049046
6.7075,-0.00396202228249028
6.709,-0.00396376673914485
6.7105,-0.00396551153027589
6.712,-0.00396725665570415
6.7135,-0.00396900211525134
6.715,-0.00397074790873437
6.7165,-0.00397249403597592
6.718,-0.00397424049678999
6.7195,-0.0039759872909954
6.721,-0.00397773441840712
6.7225,-0.00397948187884205
6.724,-0.00398122967211418
6.7255,-0.00398297779803655
6.727,-0.00398472625642026
6.7285,-0.00398647504708126
6.73,-0.00398822416982677
6.7315,-0.00398997362446984
6.733,-0.00399172341081964
6.7345,-0.00399347352868246
6.736,-0.0039952239778665
6.7375,-0.00399697475817998
6.739,-0.00399872586942725
6.7405,-0.00400047731141362
6.742,-0.00400222908394345
6.7435,-0.00400398118681722
6.745,-0.00400573361984026
6.7465,-0.00400748638281498
6.748,-0.00400923947553801
6.7495,-0.0040109928978089
6.751,-0.00401274664942715
6.7525,-0.0040145007301894
6.754,-0.00401625513989519
6.7555,-0.00401800987833727
6.757,-0.00401976494531036
6.7585,-0.0040215203406082
6.76,-0.00402327606402547
6.7615,-0.00402503211534918
6.763,-0.00402678849437208
6.7645,-0.00402854520088889
6.766,-0.00403030223468272
6.7675,-0.00403205959554056
6.769,-0.00403381728325133
6.7705,-0.004035575297602
6.772,-0.00403733363837666
6.7735,-0.00403909230535361
6.775,-0.00404085129832274
6.7765,-0.0040426106170633
6.778,-0.00404437026135262
6.7795,-0.00404613023097384
6.781,-0.00404789052570429
6.7825,-0.00404965114531936
6.784,-0.00405141208959833
6.7855,-0.00405317335831467
6.787,-0.00405493495124088
6.7885,-0.00405669686815334
6.79,-0.0040584591088207
6.7915,-0.00406022167301643
6.793,-0.00406198456050822
6.7945,-0.00406374777106278
6.796,-0.00406551130445456
6.7975,-0.00406727516043869
6.799,-0.00406903933879252
6.8005,-0.00407080383927021
6.802,-0.00407256866164139
6.8035,-0.00407433380566216
6.805,-0.0040760992710973
6.8065,-0.00407786505770293
6.808,-0.00407963116523997
6.8095,-0.00408139759345971
6.811,-0.00408316434212693
6.8125,-0.00408493141098714
6.814,-0.00408669879979836
6.8155,-0.00408846650831188
6.817,-0.00409023453627994
6.8185,-0.00409200288344803
6.82,-0.00409377154956648
6.8215,-0.00409554053438173
6.823,-0.00409730983764218
6.8245,-0.00409907945909139
